store_id,name,food_type,avg_rating
u94g,taiwan canteen 台湾食堂 uptown damansara,chinese,4.6
r9yn,ko ko kai chicken rice (mutiara damansara),chinese,4.6
xuh3,eg's wok kitchen,asian,4.7
jar7,warung jabit kj,asian,4.9
s2bg,restoran hathija maju (taman sea),roti canai,4.4
q5kx,kl food exchange (damansara perdana) (efmc),western,4.2
r7dx,the toast spot (damansara perdana) (efmc),sandwiches,4.1
snx8,tokyo bowl express (damansara perdana) (efmc),japanese,4.1
aacz,thai tomyam damansara uptown,thai,4.6
c4hd,warong bakso yuyuk,soups,4.5
a1rg,suria garden cafe - kelana square,asian,4.7
fmzn,avenue bistro (empire damansara),malaysian,4.4
n7ib,vanakam kitchen,indian,4.1
g5p5,the museum (starling mall),chinese,4.4
q9ru,komo cafe @ ttdi,malaysian,4.5
s5zu,kaw kaw burger (damansara),burgers,4.7
iuzk,baker's cottage (pj uptown),chicken rice,4.8
s8ww,stiq (damansara),western,4.6
npbn,mamak kitchen,roti canai,4.5
m0bu,restoran jasima,roti canai,4.6
s0sn,the billboard kl,malaysian,4.6
k5z0,nam chuan hainan kopitiam (pj),chinese,4.6
wh1d,uncle mani's banana leaf restaurant,indian,4.4
n4kf,restoran ratha raub,indian,4.6
l9eg,nasi lemak mak ngah (empire damansara),nasi lemak,4.7
m5gp,canton kitchen (paradigm mall),chinese,4.4
n1ug,hadramawt express,sandwiches,4.7
r5sj,kd hong kong (paradigm mall),chinese,4.4
n0hi,ayam penyet d'kota (paradigm mall),ayam penyet,4.7
mji9,emart24 (paradigm ) (restaurant),korean,4.4
p0xw,mcdonald's (shell ss6 - 1010380),fast food,4.5
nhiu,empire sushi (paradigm mall pj),sushi,4.8
s7rn,restoran maulana,malaysian,4.4
r7gn,restoran al-bidayah (ttdi),roti canai,4.5
njao,tnr by sean & angie,chinese,4.6
zdw6,warong geprek (kelana jaya),chicken,4.7
ggm7,kopi saigon kelana jaya @ warong geprek,coffee,4.8
r41t,che’nor outlet cafe ( kelana jaya ),porridge,4.4
oibi,abadi cafeteria bistro,asian,4.6
t3xh,mama ting,noodles,4.7
q6pe,restoran asneya maju,roti canai,4.6
r0jr,all day polo bun,bread,4.7
w4zi,mychick (chicken & duck),malaysian,4.6
s6bs,seoul station (3 damansara),korean,4.7
y5st,dapoq @ kelana jaya,malaysian,4.7
pcnt,nasi kandaq kapitan,malaysian,4.5
q4qi,chicken plus (3 damansara),fried chicken,4.6
v0cm,restoran jemari (petaling jaya),malaysian,4.7
q1yd,dstall corner (kelana jaya),asian,4.7
c3wv,mk porridge( ss2),porridge,4.7
t2ob,the soybean factory (ss2),healthy,4.7
n2yi,pizza hut (ttdi),pizza,4.6
s3rj,kreate cafe kpj damansara,seafood,4.8
q4eg,daboba 熊黑堂 (ss 2),bubble tea,4.7
bnh6,sate hut (kelana jaya),satay,4.7
s0qv,homst (ttdi),malaysian,4.6
cujf,k.t.z. food ss2,chinese,4.4
yaqq,restoran kelate original,chicken,4.5
vle3,anmour cafe (ss2),asian,4.6
n7cb,sabah chili pan mee ss2,noodles,4.4
jy1n,k.t.z. food xprezz (ss2),asian,4.7
o3xl,restoran al fariz maju (kelana jaya),roti canai,4.6
xnqr,sushi plus,japanese,4.4
n6zy,restoran nasi kandar penang town,indian,4.5
egew,taco bell (ttdi),chicken,4.4
ira5,xll malahotpot restaurant香辣辣麻辣香锅 (ss2),asian,4.4
y9ag,restoran sk maju (ss2),roti canai,4.6
l3ps,pisang goreng ttdi ii,cakes,4.6
ubyw,tang pin kitchen (petaling jaya),chinese,4.6
subk,yexiao canteen 夜宵食堂 (ss2) [non-halal],chinese,4.2
q6cn,us pizza (ss2),pizza,4.5
brpd,marshall's co (ss2),chicken,4.5
pfyp,"daporlah (coox, glo damansara)",chicken,4.3
h0bd,little bentong street hainanese cafe 文冬为食街海南餐厅,malaysian,4.4
kqyd,boran classic thai street food (seapark),asian,4.6
ai4z,kanna curry house (pj17),indian,4.5
ynq9,pasta ohsem (seapark),pasta,4.6
y88h,myburgerlab (seapark),burgers,4.8
j7ck,taiwan tea house (pj ss2),chinese,4.7
p22f,thai moment (sea park),thai,4.6
swx5,restoran azmin shah,roti canai,4.6
ram6,uncle lim delivery (pj),malaysian,4.7
ius1,awe nasi berlauk kelantan,asian,4.4
pspa,restoran al meerasa maju,roti canai,4.5
h2iy,restoran al-safa ( seksyen17),roti canai,4.6
