store_id,name,food_type,avg_rating,google_place_id,google_matched_name,google_formatted_address,google_price_tier,google_lat,google_lng,google_website,google_phone,operating_hours_monday,operating_hours_tuesday,operating_hours_wednesday,operating_hours_thursday,operating_hours_friday,operating_hours_saturday,operating_hours_sunday,operating_hours_by_day_json
p4mn,waroeng batavia,malaysian,4.6,ChIJyWGZFapPzDEROZ1M229mOz0,Waroeng Batavia,"11, Jalan PJU 5/20a, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1545058,101.5913845,https://waroengbatavia.carrd.co/,03-7490 2003,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,"{""Monday"": ""12:00 10:00 PM"", ""Tuesday"": ""12:00 10:00 PM"", ""Wednesday"": ""12:00 10:00 PM"", ""Thursday"": ""12:00 10:00 PM"", ""Friday"": ""12:00 10:00 PM"", ""Saturday"": ""12:00 10:00 PM"", ""Sunday"": ""12:00 10:00 PM""}"
neew,borak – borak cafe,malaysian,4.7,ChIJ-2GBlx9PzDERaJf9EaQFwi8,Borak - Borak Cafe - Ayam Kampung Cili Hijau,"12-G, The Strand, Jalan PJU 5/20b, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.154505,101.591675,https://www.google.com/maps/place/?q=place_id:ChIJ-2GBlx9PzDERaJf9EaQFwi8,03-6151 1070,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,"{""Monday"": ""11:00 AM 10:00 PM"", ""Tuesday"": ""11:00 AM 10:00 PM"", ""Wednesday"": ""11:00 AM 10:00 PM"", ""Thursday"": ""11:00 AM 10:00 PM"", ""Friday"": ""11:00 AM 10:00 PM"", ""Saturday"": ""11:00 AM 10:00 PM"", ""Sunday"": ""11:00 AM 10:00 PM""}"
wq8t,the hungry wok - foodle (the strand mall),asian,3.9,ChIJgeNbviJPzDERC7NQRmyZaZg,Foodle Kota Damansara,"Red Carpet Area The Strand Mall, Pusat Perdagangan, PJU5, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1550309,101.5928935,https://www.foodle.com.my/,03-6144 0333,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
o38k,subway (thomson hospital),sandwiches,4.6,ChIJA8VxjANPzDERHq2EmG3gs9Q,Subway @ Thomson Hospital,"11, 1109-4 GF, Thomson Hospital, PJU 5, Jalan Teknologi, Taman Sains Selangor, 47810 Petaling Jaya, Selangor, Malaysia",,3.1493893,101.5788208,http://subway.com.my/,,8:00 AM 9:00 PM,8:00 AM 9:00 PM,8:00 AM 9:00 PM,8:00 AM 9:00 PM,8:00 AM 9:00 PM,9:00 AM 7:00 PM,9:00 AM 7:00 PM,"{""Monday"": ""8:00 AM 9:00 PM"", ""Tuesday"": ""8:00 AM 9:00 PM"", ""Wednesday"": ""8:00 AM 9:00 PM"", ""Thursday"": ""8:00 AM 9:00 PM"", ""Friday"": ""8:00 AM 9:00 PM"", ""Saturday"": ""9:00 AM 7:00 PM"", ""Sunday"": ""9:00 AM 7:00 PM""}"
noyl,i am geprek bensu @ foodle (the strand mall - kota damansara),malaysian,4.3,ChIJgeNbviJPzDERC7NQRmyZaZg,Foodle Kota Damansara,"Red Carpet Area The Strand Mall, Pusat Perdagangan, PJU5, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1550309,101.5928935,https://www.foodle.com.my/,03-6144 0333,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
ytld,nasi ayam berapi - foodle (the strand mall),malaysian,4.0,ChIJgeNbviJPzDERC7NQRmyZaZg,Foodle Kota Damansara,"Red Carpet Area The Strand Mall, Pusat Perdagangan, PJU5, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1550309,101.5928935,https://www.foodle.com.my/,03-6144 0333,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
n2wl,martabak bang! (kota damansara),desserts,4.5,ChIJsUX1OUJPzDERPygTHSWqLQY,Martabak Bang! Kota Damansara,"Encorp Strand, 11, Jalan PJU 5/20a, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1545058,101.5913845,https://www.google.com/maps/place/?q=place_id:ChIJsUX1OUJPzDERPygTHSWqLQY,011-1529 8408,12:30 9:30 PM,12:30 9:30 PM,12:30 9:30 PM,12:30 9:30 PM,12:30 9:30 PM,12:30 9:30 PM,12:30 9:30 PM,"{""Monday"": ""12:30 9:30 PM"", ""Tuesday"": ""12:30 9:30 PM"", ""Wednesday"": ""12:30 9:30 PM"", ""Thursday"": ""12:30 9:30 PM"", ""Friday"": ""12:30 9:30 PM"", ""Saturday"": ""12:30 9:30 PM"", ""Sunday"": ""12:30 9:30 PM""}"
gp2h,smashhouse burgers - foodle (the strand mall),asian,4.2,ChIJPQ_ZYwBPzDERBa8xSOopyLc,Smash Burger KD@Kota Damansara,"No 29-1 Jalan Pju 5/18,Dataran Sunway, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1533459,101.592345,https://www.google.com/maps/place/?q=place_id:ChIJPQ_ZYwBPzDERBa8xSOopyLc,017-394 2534,6:00 PM 12:00 AM,6:00 PM 12:00 AM,6:00 PM 12:00 AM,6:00 PM 12:00 AM,6:00 PM 12:00 AM,6:00 PM 12:00 AM,6:00 PM 12:00 AM,"{""Monday"": ""6:00 PM 12:00 AM"", ""Tuesday"": ""6:00 PM 12:00 AM"", ""Wednesday"": ""6:00 PM 12:00 AM"", ""Thursday"": ""6:00 PM 12:00 AM"", ""Friday"": ""6:00 PM 12:00 AM"", ""Saturday"": ""6:00 PM 12:00 AM"", ""Sunday"": ""6:00 PM 12:00 AM""}"
arkw,foodle food hall - foodle (the strand mall),asian,3.8,ChIJgeNbviJPzDERC7NQRmyZaZg,Foodle Kota Damansara,"Red Carpet Area The Strand Mall, Pusat Perdagangan, PJU5, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1550309,101.5928935,https://www.foodle.com.my/,03-6144 0333,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
n4qr,ai nasi lemak ayam berempah,malaysian,4.6,ChIJkRsefv1OzDERu82rrVVkDVs,Nasi Lemak Ayam Berempah,"1, Jalan Camar 4/5A, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",mid,3.1528623,101.5791581,https://www.google.com/maps/place/?q=place_id:ChIJkRsefv1OzDERu82rrVVkDVs,03-6158 1612,7:00 AM 12:00 AM,7:00 AM 12:00 AM,7:00 AM 12:00 AM,12:00 PM 12:00 AM,7:00 AM 12:00 AM,7:00 AM 12:00 AM,7:00 AM 12:00 AM,"{""Monday"": ""7:00 AM 12:00 AM"", ""Tuesday"": ""7:00 AM 12:00 AM"", ""Wednesday"": ""7:00 AM 12:00 AM"", ""Thursday"": ""12:00 PM 12:00 AM"", ""Friday"": ""7:00 AM 12:00 AM"", ""Saturday"": ""7:00 AM 12:00 AM"", ""Sunday"": ""7:00 AM 12:00 AM""}"
